Time, L1-AMPERAGE, L2-AMPERAGE,L3-AMPERAGE,L4-AMPERAGE,R1-AMPERAGE,R2-AMPERAGE,R3-AMPERAGE,R4-AMPERAGE, BATTERY
000004.7,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.72,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.74,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.316054931640625,
00004.76,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.32233740234375,
00004.78,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.316054931640625,
000004.8,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.328619873046875,
00004.82,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.328619873046875,
00004.84,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.328619873046875,
00004.86,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.316054931640625,
00004.88,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.284642578125,
00004.92,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,12.29720751953125,
00004.94,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,12.22181787109375,
00004.96,0.125,0.0,0.125,0.125,0.25,0.0,0.125,0.0,12.2092529296875,
00004.98,0.625,0.0,0.125,0.5,0.625,0.125,0.125,0.0,12.077321044921874,
000005.0,1.0,0.25,0.75,0.75,1.375,0.5,0.25,0.5,12.001931396484375,
00005.02,1.625,0.375,1.125,1.25,1.75,1.0,0.25,1.0,12.064756103515625,
00005.06,1.625,0.375,1.25,1.625,2.125,1.375,0.5,1.25,12.127580810546874,
00005.08,1.625,0.25,1.125,1.5,1.875,1.375,0.25,0.75,12.140145751953124,
000005.1,1.375,0.25,0.75,1.0,1.0,0.625,0.25,0.5,12.177840576171874,
00005.12,0.875,0.25,0.625,0.625,0.75,0.375,0.125,0.25,12.190405517578125,
00005.14,0.75,0.25,0.5,0.5,0.625,0.25,0.125,0.0,12.190405517578125,
00005.16,0.625,0.25,0.375,0.375,0.5,0.25,0.125,0.0,12.190405517578125,
00005.18,0.625,0.25,0.375,0.375,0.5,0.25,0.125,0.0,12.184123046875,
000005.2,0.625,0.25,0.375,0.375,0.5,0.25,0.125,0.0,12.17155810546875,
00005.24,0.75,0.25,0.375,0.375,0.625,0.25,0.125,0.0,12.108733398437499,
00005.26,0.875,0.25,0.5,0.5,1.125,0.5,0.125,0.0,12.001931396484375,
00005.28,2.75,0.375,0.625,1.625,1.75,0.75,0.25,0.5,11.46792138671875,
000005.3,4.75,0.625,1.625,3.5,4.0,1.5,0.5,3.125,11.11610302734375,
00005.32,7.125,2.5,5.125,5.125,6.25,2.75,1.375,4.625,11.1035380859375,
00005.34,8.625,2.5,6.125,6.375,8.5,4.75,2.25,6.125,11.122385498046874,
